,Balanced Accuracy,Precision,Recall,F1,Kappa
XGB,0.853 +/- 0.018,0.976 +/- 0.014,0.706 +/- 0.036,0.818 +/- 0.025,0.818 +/- 0.025
XGB scaled,0.853 +/- 0.018,0.976 +/- 0.014,0.706 +/- 0.036,0.818 +/- 0.025,0.818 +/- 0.025
