,Balanced Accuracy,Precision,Recall,F1,Kappa
KNN,0.834 +/- 0.013,0.864 +/- 0.028,0.668 +/- 0.027,0.753 +/- 0.023,0.753 +/- 0.023
KNN scaled,0.863 +/- 0.011,0.918 +/- 0.015,0.727 +/- 0.022,0.811 +/- 0.014,0.811 +/- 0.014
SVM,0.621 +/- 0.012,0.995 +/- 0.01,0.242 +/- 0.024,0.389 +/- 0.031,0.388 +/- 0.031
SVM scaled,0.536 +/- 0.011,1.0 +/- 0.0,0.071 +/- 0.023,0.132 +/- 0.039,0.132 +/- 0.039
MLP,0.903 +/- 0.065,0.529 +/- 0.23,0.81 +/- 0.133,0.584 +/- 0.147,0.582 +/- 0.148
MLP scaled,0.694 +/- 0.019,0.913 +/- 0.051,0.387 +/- 0.037,0.543 +/- 0.044,0.543 +/- 0.044
